2014-04-16 20:37:18 startup archives install
2014-04-16 20:37:18 install base-passwd:armhf <none> 3.5.33
2014-04-16 20:37:18 status half-installed base-passwd:armhf 3.5.33
2014-04-16 20:37:18 status unpacked base-passwd:armhf 3.5.33
2014-04-16 20:37:18 status unpacked base-passwd:armhf 3.5.33
2014-04-16 20:37:18 configure base-passwd:armhf 3.5.33 3.5.33
2014-04-16 20:37:18 status unpacked base-passwd:armhf 3.5.33
2014-04-16 20:37:18 status half-configured base-passwd:armhf 3.5.33
2014-04-16 20:37:18 status installed base-passwd:armhf 3.5.33
2014-04-16 20:37:19 startup archives install
2014-04-16 20:37:19 install base-files:armhf <none> 7.2ubuntu5
2014-04-16 20:37:19 status half-installed base-files:armhf 7.2ubuntu5
2014-04-16 20:37:19 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:19 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:19 configure base-files:armhf 7.2ubuntu5 7.2ubuntu5
2014-04-16 20:37:19 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:19 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:19 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:19 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:19 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:19 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:19 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:19 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:19 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:20 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:20 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:20 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:20 status half-configured base-files:armhf 7.2ubuntu5
2014-04-16 20:37:20 status installed base-files:armhf 7.2ubuntu5
2014-04-16 20:37:20 startup archives install
2014-04-16 20:37:20 upgrade dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2014-04-16 20:37:20 status half-configured dpkg 1.17.5ubuntu5
2014-04-16 20:37:20 status unpacked dpkg 1.17.5ubuntu5
2014-04-16 20:37:20 status half-installed dpkg 1.17.5ubuntu5
2014-04-16 20:37:21 status half-installed dpkg 1.17.5ubuntu5
2014-04-16 20:37:21 status unpacked dpkg 1.17.5ubuntu5
2014-04-16 20:37:21 status unpacked dpkg 1.17.5ubuntu5
2014-04-16 20:37:21 configure dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2014-04-16 20:37:21 status unpacked dpkg 1.17.5ubuntu5
2014-04-16 20:37:21 status unpacked dpkg 1.17.5ubuntu5
2014-04-16 20:37:21 status unpacked dpkg 1.17.5ubuntu5
2014-04-16 20:37:21 status unpacked dpkg 1.17.5ubuntu5
2014-04-16 20:37:21 status unpacked dpkg 1.17.5ubuntu5
2014-04-16 20:37:21 status half-configured dpkg 1.17.5ubuntu5
2014-04-16 20:37:21 status installed dpkg 1.17.5ubuntu5
2014-04-16 20:37:21 startup archives install
2014-04-16 20:37:22 install libc6:armhf <none> 2.19-0ubuntu6
2014-04-16 20:37:22 status half-installed libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:22 status unpacked libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:22 status unpacked libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:22 configure libc6:armhf 2.19-0ubuntu6 2.19-0ubuntu6
2014-04-16 20:37:22 status unpacked libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:22 status unpacked libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:23 status half-configured libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:23 status installed libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:23 startup archives install
2014-04-16 20:37:23 install perl-base:armhf <none> 5.18.2-2ubuntu1
2014-04-16 20:37:23 status half-installed perl-base:armhf 5.18.2-2ubuntu1
2014-04-16 20:37:24 status unpacked perl-base:armhf 5.18.2-2ubuntu1
2014-04-16 20:37:24 status unpacked perl-base:armhf 5.18.2-2ubuntu1
2014-04-16 20:37:24 configure perl-base:armhf 5.18.2-2ubuntu1 5.18.2-2ubuntu1
2014-04-16 20:37:24 status unpacked perl-base:armhf 5.18.2-2ubuntu1
2014-04-16 20:37:25 status half-configured perl-base:armhf 5.18.2-2ubuntu1
2014-04-16 20:37:25 status installed perl-base:armhf 5.18.2-2ubuntu1
2014-04-16 20:37:25 startup archives install
2014-04-16 20:37:25 install mawk:armhf <none> 1.3.3-17ubuntu2
2014-04-16 20:37:25 status half-installed mawk:armhf 1.3.3-17ubuntu2
2014-04-16 20:37:25 status unpacked mawk:armhf 1.3.3-17ubuntu2
2014-04-16 20:37:25 status unpacked mawk:armhf 1.3.3-17ubuntu2
2014-04-16 20:37:25 configure mawk:armhf 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2014-04-16 20:37:25 status unpacked mawk:armhf 1.3.3-17ubuntu2
2014-04-16 20:37:25 status half-configured mawk:armhf 1.3.3-17ubuntu2
2014-04-16 20:37:25 status installed mawk:armhf 1.3.3-17ubuntu2
2014-04-16 20:37:26 startup archives unpack
2014-04-16 20:37:26 install adduser:all <none> 3.113+nmu3ubuntu3
2014-04-16 20:37:26 status half-installed adduser:all 3.113+nmu3ubuntu3
2014-04-16 20:37:26 status unpacked adduser:all 3.113+nmu3ubuntu3
2014-04-16 20:37:26 status unpacked adduser:all 3.113+nmu3ubuntu3
2014-04-16 20:37:26 upgrade base-files:armhf 7.2ubuntu5 7.2ubuntu5
2014-04-16 20:37:26 status half-configured base-files:armhf 7.2ubuntu5
2014-04-16 20:37:26 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:26 status half-installed base-files:armhf 7.2ubuntu5
2014-04-16 20:37:27 status half-installed base-files:armhf 7.2ubuntu5
2014-04-16 20:37:27 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:27 status unpacked base-files:armhf 7.2ubuntu5
2014-04-16 20:37:27 upgrade base-passwd:armhf 3.5.33 3.5.33
2014-04-16 20:37:27 status half-configured base-passwd:armhf 3.5.33
2014-04-16 20:37:27 status unpacked base-passwd:armhf 3.5.33
2014-04-16 20:37:27 status half-installed base-passwd:armhf 3.5.33
2014-04-16 20:37:27 status half-installed base-passwd:armhf 3.5.33
2014-04-16 20:37:27 status unpacked base-passwd:armhf 3.5.33
2014-04-16 20:37:27 status unpacked base-passwd:armhf 3.5.33
2014-04-16 20:37:28 install bash:armhf <none> 4.3-6ubuntu1
2014-04-16 20:37:28 status half-installed bash:armhf 4.3-6ubuntu1
2014-04-16 20:37:28 status unpacked bash:armhf 4.3-6ubuntu1
2014-04-16 20:37:28 status unpacked bash:armhf 4.3-6ubuntu1
2014-04-16 20:37:28 install bsdutils:armhf <none> 1:2.20.1-5.1ubuntu20
2014-04-16 20:37:28 status half-installed bsdutils:armhf 1:2.20.1-5.1ubuntu20
2014-04-16 20:37:28 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu20
2014-04-16 20:37:28 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu20
2014-04-16 20:37:28 install busybox-initramfs:armhf <none> 1:1.21.0-1ubuntu1
2014-04-16 20:37:28 status half-installed busybox-initramfs:armhf 1:1.21.0-1ubuntu1
2014-04-16 20:37:29 status unpacked busybox-initramfs:armhf 1:1.21.0-1ubuntu1
2014-04-16 20:37:29 status unpacked busybox-initramfs:armhf 1:1.21.0-1ubuntu1
2014-04-16 20:37:29 install coreutils:armhf <none> 8.21-1ubuntu5
2014-04-16 20:37:29 status half-installed coreutils:armhf 8.21-1ubuntu5
2014-04-16 20:37:29 status unpacked coreutils:armhf 8.21-1ubuntu5
